Topic,Count,Name,Representation,Representative_Docs
16,487,16_blackouttuesday_blackoutday2020_blackout_theshowmustbepaused,"['blackouttuesday', 'blackoutday2020', 'blackout', 'theshowmustbepaused', 'blackoutday', 'blackoutuesday', 'blackouttuesdsy', 'tuesday', 'hashtag', 'blacklivesmatter']","['blacklivesmatter blackouttuesday', 'blackouttuesday blacklivesmatter', 'blackouttuesday blacklivesmatter']"
17,486,17_negro_negros_que_lo,"['negro', 'negros', 'que', 'lo', 'el', 'house', 'de', 'yo', 'como', 'hahahaha']","['negro please', 'if it was in negro', 'negro who is “we” ??!!']"
18,450,18_protests_floyd_george_georgefloyd,"['protests', 'floyd', 'george', 'georgefloyd', 'protest', 'protesting', 'protesters', 'protests2020', 'demonstrators', 'youtube']","['george floyd, minneapolis protests, ahmaud arbery &amp; amy cooper | the dai... https://t.co/5ff1qjipqv via @youtube', 'george floyd, minneapolis protests, ahmaud arbery &amp; amy cooper | the dai... https://t.co/dnllppowgq via @youtube', 'george floyd, minneapolis protests, ahmaud arbery &amp; amy cooper | the dai... https://t.co/4wq0wmvdfp via @youtube']"
19,439,19_virus_china_chinese_chinavirus,"['virus', 'china', 'chinese', 'chinavirus', 'chinesevirus', 'wuhan', 'came', 'realdonaldtrump', 'tolls', 'flu']","['china virus', 'china virus', 'china virus']"
20,426,20_lives_matter_black_hashtag,"['lives', 'matter', 'black', 'hashtag', 'all', 'until', 'say', 'matters', 'don', 'saying']","['we said “black lives matter”\nnever said only black lives matter\nwe know that all lives matter. we just need your he… https://t.co/t3xiq2ymzv', 'we said black lives matter\nnever said only black lives matter\nwe know all lives matter\nwe just need your help w/… https://t.co/ogfesbansm', 'black lives matter\n4.\nso again i say; do black lives matter? yes, black lives matter. and, so do the lives of every… https://t.co/0wcs0bv8rl']"
21,402,21_breonna_taylor_killed_cops,"['breonna', 'taylor', 'killed', 'cops', 'arrest', 'murdered', 'arrested', 'killers', 'officers', 'murderers']","['arrest the cops who murdered breonna taylor', 'arrest the cops who murdered breonna taylor', 'arrest the cops who murdered breonna taylor']"
22,367,22_illuminati_conspiracy_join_lizard,"['illuminati', 'conspiracy', 'join', 'lizard', 'confirmed', 'agent', 'hotties', 'symbolism', 'pyramid', 'qualify']","['it was the illuminati', 'illuminati', 'illuminati']"
23,352,23_latinos_mexicans_mexican_latino,"['latinos', 'mexicans', 'mexican', 'latino', 'latinx', 'latinosforblacklivesmatter', 'hispanic', 'hispanics', 'mexico', 'spanish']","['here come all the racist and anti-black latinos', 'mexicans on tik tok who think blm is racist for not including mexicans/latinos are part of the problem', 'latinos for black lives matter']"
24,351,24_movement_support_blm_supporting,"['movement', 'support', 'blm', 'supporting', 'people', 'issue', 'trend', 'understand', 'mean', 'saying']","['do you support the blm movement as it is ?', 'support the blm movement 🐸☕️', 'blm movement is']"
25,349,25_floyd_george_happened_6ft,"['floyd', 'george', 'happened', '6ft', 'death', 'was', 'die', 'his', 'murder', 'excuse']","['first conspiracy i’ve heard of where george floyd isn’t actually george floyd?...', ""it's hard to believe this is what was said about the george floyd murder!"", 'that man should die like he killed george floyd']"
26,344,26_beshear_andy_petition_sign,"['beshear', 'andy', 'petition', 'sign', 'change', 'breonna', 'taylor', 'via', 'justice', 'for']","['sign the fucking petition\n\nandy beshear: justice for breonna taylor - sign the petition! https://t.co/jmoigvjyrs via @change', 'andy beshear: justice for breonna taylor - sign the petition! https://t.co/wmffv9lmit via @change', 'andy beshear: justice for breonna taylor - sign the petition! https://t.co/wmffv9lmit via @change']"
27,338,27_mural_art_painted_painting,"['mural', 'art', 'painted', 'painting', 'artwork', 'murals', 'street', 'artists', 'paint', 'tower']","['remember when los angeles had a blm mural painted on hollywood blvd only to be removed and never heard from again. 😒 @mayorofla', 'a new mural is going up in my neighborhood...\n.\n.\n.\nblm blacklivesmatter political art mural downtown… https://t.co/ujiyscf3hh', 'blacklivesmatter  art']"
28,324,28_faggot_faggots_fag_fags,"['faggot', 'faggots', 'fag', 'fags', 'called', 'fucking', 'me', 'call', 'ass', 'bitch']","['i’m an all out faggot', 'faggots man\n\nfucking faggots', 'fucking faggot']"
29,323,29_holocaust_survivor_museum_survivors,"['holocaust', 'survivor', 'museum', 'survivors', 'denying', 'cannibal', 'genocide', 'happened', 'deniers', 'iamchrisyanke']","['from the daughter of a holocaust survivor 👇', 'holocaust', 'the last holocaust survivor in my family just died  :(']"
30,321,30_slaves_african_slave_owners,"['slaves', 'african', 'slave', 'owners', 'white', 'trade', 'africa', 'sold', 'blacks', 'were']","['a lot of african american last names are the last names of their ancestors slave owners 🤷🏾\u200d♂️', 'white people love slaves 😭', 'slave to white people']"
31,319,31_white_supremacy_supremacists_whites,"['white', 'supremacy', 'supremacists', 'whites', 'people', 'privilege', 'whiteprivilege', 'blm', 'eradicate', 'protesters']","['blm does not mean anti-white\nblm does not mean anti-white\nblm does not mean anti-white\nblm does not mean anti-white', 'white privilege is real. blacklivesmatter', 'this! blm is not anti white!']"
32,315,32_aliens_illegal_fairimmigration_irlilaw,"['aliens', 'illegal', 'fairimmigration', 'irlilaw', 'citizens', 'sanctuary', 'criminal', 'senkamalaharris', 'newsom', 'stimulus']","['illegal aliens will take away your guns', '@gavinnewsom illegal aliens own and control california.', 'yes but you forgot the illegal aliens']"
33,314,33_trump_nazi_fine_nazis,"['trump', 'nazi', 'fine', 'nazis', 'donald', 'supporters', 'neo', 'president', 'fascist', 'kkk']","['trump is a nazi', 'trump is a nazi', 'trump is a nazi']"
34,302,34_tetedolis_lordmesaart_blacklivesmatter_youranoncentral,"['tetedolis', 'lordmesaart', 'blacklivesmatter', 'youranoncentral', 'joshuapotash', 'blmla', 'halsey', 'blacklivesmatters', 'brownlivesmatter', 'wp4bl']","['@tetedolis blacklivesmatter', '@tetedolis blacklivesmatter', '@tetedolis blacklivesmatter']"
35,302,35_matter_lives_protesters_black,"['matter', 'lives', 'protesters', 'black', 'protest', 'protests', 'pasadena', 'protestors', 'protester', 'protesting']","['over 50 black lives matters pasadena demonstrators are walking to the pasadena police station to protest the recent… https://t.co/8virg77hbm', 'until black lives matter - la we will not let up! ✊🏾 blm blacklivesmatter protest', 'black lives matter and these protesters are not the same blacklivesmatter']"
36,288,36_arrest_killed_cops_breonnataylor,"['arrest', 'killed', 'cops', 'breonnataylor', 'who', 'the', 'crops', 'breonnataylorwasmurdered', '', '']","['arrest the cops who killed breonnataylor', 'arrest the cops who killed breonnataylor', 'arrest the cops who killed breonnataylor']"
37,287,37_drag_queens_queen_favorite,"['drag', 'queens', 'queen', 'favorite', 'named', 'bob', 'dragrace', 'rupaul', 'performing', 'famous']","['one of my favorite drag queens 🌈🌈🌈🌈🌈🌈', 'what would your drag queen name be?', 'how are the drag queens doing?']"
38,287,38_lakers_players_sports_athletes,"['lakers', 'players', 'sports', 'athletes', 'nba', 'team', 'basketball', 'nfl', 'coach', 'teams']","['everyone know lakers going back to back right? illuminati', ""i'm not happy @nba players were first to be tested \n\nbut thank god there are sports on tv\n\nblm\n\nstay safe"", '@lakers so proud of my lakers! blacklivesmatter']"
39,269,39_blm_gctv_vxtppy5ja4_tai_pena,"['blm', 'gctv', 'vxtppy5ja4', 'tai_pena', 'kenyattamadiso6', 'surber', 'gcsf', 'laptop', 'dtla', 'bahighlights']","['blm @kenyattamadiso6 @tai_pena gctv bahighlights\nhttps://t.co/vxtppy5ja4', 'blm @kenyattamadiso6  @tai_pena gcsf gctv🏀\nhttps://t.co/vxtppy5ja4 https://t.co/pu4meg0zii', 'blm bahighlights gctv gcsf 🏀@kenyattamadiso6 @tai_pena https://t.co/vxtppy5ja4 https://t.co/paaymxqxtg']"
40,256,40_breathe_cant_can_breath,"['breathe', 'cant', 'can', 'breath', 'omg', 'anxiety', 'frequency', 'cough', 'oxygen', 'im']","['i cant breathe 😩', '😂😂😂😂😂😂😂 i cant breathe', 'i cant breathe 😭']"
41,252,41_vote_election_vote2020_bidenharris2020,"['vote', 'election', 'vote2020', 'bidenharris2020', 'november', 'voting', 'votebluetosaveamerica', 'democracy', 'election2020', 'votebluetoendthisnightmare']","['❗️. blacklivesmatter !  vote for @joebiden !  🎈🎈🎈🎈', 'vote blm', '🔥🔥🔥 blacklivesmatter vote']"
42,248,42_he_nazi_him_his,"['he', 'nazi', 'him', 'his', 'fascist', 'wheelchair', 'uniform', 'guy', 'nazis', 'tucker']","['also - madison cawthorn is def a nazi sympathizer and fascist, but jokes about his wheelchair and disability are ableist 👍🏼', 'for fuck’s sake. he is a nazi in a wheelchair. a brainless dr. strangelove.', 'this is @repcawthorn. something really, really wrong with him. he is dr. strangelove 2021, a nazi in a wheelchair.']"
43,241,43_music_song_blackmusicmonth_feat,"['music', 'song', 'blackmusicmonth', 'feat', 'remix', 'oobang', 'guitar', 'link', 'rap', 'hiphop']","['blacklivesmatters kase1hunnid  iluvmydawgs feat snoopdogg @rickyrozay  @therealyd remix check the video link&amp;bi… https://t.co/0os1yzm2cj', 'blacklivesmatters kase1hunnid  iluvmydawgs feat snoopdogg @rickyrozay  @therealyd remix check the video link&amp;bi… https://t.co/5hljjjqk2r', '@thatericalper no live music so there is no music. blm']"
44,238,44_protest_protests2020_protesting_protestla,"['protest', 'protests2020', 'protesting', 'protestla', 'protests', 'losangeles', '2020protests', 'blacklivesmatter', 'dtla', '12pm']","['come out today losangeles blm protests2020 blacklivesmatter dtla stopkillingus https://t.co/gzfgauyxw7', 'protests2020 blacklivesmatter', 'protests2020 blacklivesmatter icantbreath ']"
45,223,45_dyke_dykes_like_strap,"['dyke', 'dykes', 'like', 'strap', 'ah', 'bitch', 'ass', 'mannie', 'fresh', 'nigga']","['fuck a dyke', 'this, but in dyke', 'i’m a dyke']"
46,220,46_fag_faggot_fags_terf,"['fag', 'faggot', 'fags', 'terf', 'jigga', 'nig', 'sorrowfulboy', 'terfs', 'lt', 'ching']","['@erictrump ok fag', 'i need a dom to use me like this fag', '@realcandaceo fag move lol']"
47,215,47_arrest_breonnataylor_cops_killed,"['arrest', 'breonnataylor', 'cops', 'killed', 'killers', 'murdered', 'who', 'murderers', 'arrested', 'murders']","['arrest the cops who killed breonnataylor !', 'arrest the cops who killed breonnataylor ‼️', 'arrest the cops who killed breonnataylor !!!']"
48,201,48_blackouttuesday_california_angeles_los,"['blackouttuesday', 'california', 'angeles', 'los', 'theshowmustbepaused', 'blackoutday2020', 'blackout', 'muted', 'beverly', 'hills']","['blacklivesmatter blackouttuesday blackoutday2020 @ los angeles, california https://t.co/x7bvwwwa3n', 'blackoutday2020 blackouttuesday blacklivesmatter @ los angeles/hollywood california https://t.co/s2ge2otkjb', 'blacklivesmatter blackoutday2020 blackouttuesday solidarity @ los angeles, california https://t.co/lljjxiab6r']"
49,197,49_transphobia_trans_transphobic_rowling,"['transphobia', 'trans', 'transphobic', 'rowling', 'jkrowling', 'women', 'terfs', 'misgender', 'tw', 'rebuking']","['transphobia is for trump supporters', 'transphobia from a trans woman🤔', '♥️ transphobia']"
50,196,50_border_wall_mexico_construction,"['border', 'wall', 'mexico', 'construction', 'borderwall', 'walls', 'trump', 'fence', 'build', 'built']","['the border wall took the rest of our stimulus check money', 'border wall - where ?', 'and the border wall down south?']"
51,195,51_chauvin_trial_derek_guilty,"['chauvin', 'trial', 'derek', 'guilty', 'convicted', 'murder', 'defense', 'jury', 'verdict', 'degree']","['i thought it was derek chauvin’s trial, not george floyd’s! georgefloyd blacklivesmatter', 'chauvin trial***', 'day 7 of the derek chauvin murder trial']"
52,193,52_served_justice_georgefloyd_george,"['served', 'justice', 'georgefloyd', 'george', 'floyd', 'justiceforgeorgefloyd', 'finally', 'pray', 'georgefloydjusticeinpolicingact', 'justiceforfloyd']","['justice better be served for george floyd', 'justice for george floyd has been served🖤', 'g u i l t y!!!\njustice will finally be served!!!\nblm georgefloyd']"
53,193,53_stopasianhate_stopaapihate_stopasianhatecrimes_aapi,"['stopasianhate', 'stopaapihate', 'stopasianhatecrimes', 'aapi', 'stophate', 'ploeehfddd', 'guidedmeditation', 'jordanclarksons', 'standforasians', 'lovethyasian']","['in solidarity. stopasianhate', 'if they think we look the same, let’s act the same - rally! stopasianhate stopasianhatecrimes stopaapihate', 'we are not 7 we are many.  stopasianhate']"
54,186,54_movement_lives_matter_black,"['movement', 'lives', 'matter', 'black', 'parenthood', 'support', 'organization', 'planned', 'emerged', 'jasonscampbell']","['either you support the protestors and the black lives matter movement, or you don’t fucking talk to me anymore', 'i just learned this myself. i support black lives matter movement, but not the blm organization.', 'in whatever way you can support the black lives matter movement, do it 🖤 time, money, and/or your voice.']"
55,183,55_casi_blacklivesmatter_muertas_rosas,"['casi', 'blacklivesmatter', 'muertas', 'rosas', 'blctku', 'blmkansai', 'cuando', 'ciara', 'favorito', 'zombie']","['nivel de maitrez desbloqueado “cuando buscas zapato cómodo” y te empiezan a gustar estos 😑🙄🤭😲😣🤨🥸👴🏼 (en negro con ca… https://t.co/fpcxrfpekp', '“ cuando el rojo está casi negro y las rosas 🌹 están casi muertas ese es mi color favorito 🥀 “ blctku  edit… https://t.co/x6asrthc32', '“ cuando el rojo está casi negro y las rosas 🌹 están casi muertas ese es mi color favorito 🥀 “ blctku  edit… https://t.co/ia1extmh6t']"
56,181,56_shirt_starbucks_shirts_employees,"['shirt', 'starbucks', 'shirts', 'employees', 'boycottstarbucks', 'wear', 'apparel', 'wearing', 'boycott', 'clothing']","['fuck starbucks for not supporting the blm movement and not letting their employees support it. @starbucks', 'today’s a great day to wear my blacklivesmatter t-shirt', 'now that is a real blm shirt 🤔']"
57,177,57_neo_white_supremacists_supremest,"['neo', 'white', 'supremacists', 'supremest', 'nazis', 'supremacist', 'kkk', 'racist', 'condemn', 'nazi']","['@seanhannity they are your supporters! the ones you refuse to condemn!  \n\nwhite supremest \nneo nazis\nkkk \n \nthey ha… https://t.co/kfg57pnkvw', '@realdonaldtrump they are your supporters! the ones you refuse to condemn!  \n\nwhite supremest \nneo nazis\nkkk \n \nthe… https://t.co/lu8so2qiks', '@realdonaldtrump the ones you refuse to condemn!  \n\nwhite supremest \nneo nazis\nkkk \n \nthey have hijack the protests… https://t.co/okwegeb5et']"
58,172,58_antisemitism_antisemitic_incidents_cow,"['antisemitism', 'antisemitic', 'incidents', 'cow', 'stereotypes', 'blatant', 'tropes', 'overlap', 'jaysekulow', 'stopantisemitism']","['and also antisemitism', 'what they said. antisemitism', 'it’s the antisemitism']"
59,171,59_taylor_breonna_justice_case,"['taylor', 'breonna', 'justice', 'case', 'deserves', 'justiceforbreonnataylor', 'verdict', 'ms', 'danielcameronag', 'breewayy']","['good morning we still need justice for breonna taylor', 'justice for breonna taylor! @kyoag breonnataylor sayhername blacklivesmatter', 'breonna taylor is not getting justice here. 🤬🤬🤬🤬']"
60,170,60_hollywood_west_protest_peaceful,"['hollywood', 'west', 'protest', 'peaceful', 'hollywoodprotest', 'hollywoodblvd', 'weho', 'vine', 'laprotest', 'skrrt']","['peaceful protest in west hollywood... blacklivesmatter weareallinthistogether @ west hollywood, california https://t.co/4bnq3nc3xs', 'most massive protest in hollywood right now.\n\nblacklivesmatters hollywoodprotest hollywood', 'i’m watching the peaceful protests out in hollywood and west hollywood and wishing i was there. blacklivesmatter']"
61,167,61_memorial_fund_official_funeral,"['memorial', 'fund', 'official', 'funeral', 'floyd', 'george', 'donate', 'service', 'honor', 'tribute']","['friends and family... please donate!!\n\nofficial george floyd memorial fund https://t.co/mckqyodp8f', 'official george floyd memorial fund https://t.co/o3yalfyhfg please donate if u can.', 'all donations will be going to the official george floyd memorial fund.']"
62,164,62_she_her_nazi_holocaust,"['she', 'her', 'nazi', 'holocaust', 'mtg', 'stormtroopers', 'sympathizer', 'nazis', 'wearing', 'miller']","['she did that because she is probably a masks nazi in class to the kids', 'how did she nazi that coming?', 'how did she did nazi that coming?']"
63,164,63_liberal_democrats_democrates_dumbies,"['liberal', 'democrats', 'democrates', 'dumbies', 'biden2020', 'defundpolice', 'speakerpelosi', 'acab', 'gavinnewsom', 'democrat']","['biden2020 democrates dumbies defundpolice blm acab liberal @speakerpelosi  @joebiden  @gavinnewsom… https://t.co/4o7blilmeg', 'biden2020 democrates dumbies defundpolice blm acab liberal @speakerpelosi  @joebiden  @gavinnewsom… https://t.co/2xvur8kvy5', 'biden2020 democrates dumbies defundpolice blm acab liberal @speakerpelosi  @joebiden  @gavinnewsom… https://t.co/aeobzn3itg']"
64,159,64_arbery_ahmaud_jogging_georgia,"['arbery', 'ahmaud', 'jogging', 'georgia', 'murder', 'hunted', 'brunswick', 'shooting', 'ahmaudarbery', 'february']","['i saw a black man post about the murder of ahmaud arbery and said, “i hate it here! i am ahmaud arbery!” \n\nmy heart… https://t.co/damhntcdyg', 'i don’t understand how no one was arrested in the ahmaud arbery murder. just a huge what the fuck.', 'i saw a black man post about the murder of ahmaud arbery and he said, “i hate it here! i am ahmaud arbery!” \n\nmy he… https://t.co/sskbxlouo6']"
65,159,65_angeles_california_los_blacklivesmatter,"['angeles', 'california', 'los', 'blacklivesmatter', 'whenwillitstop', 'guantes', 'youmatter', 'arte', 'bae', 'thisisamerica']","['blacklivesmatter spreadlove youmatter @ los angeles, california https://t.co/t2mxxgtxuo', 'guantes negros arte à los angeles, california https://t.co/fzd7c1izzf', 'guantes negros arte à los angeles, california https://t.co/yyzhxe9cyv']"
66,158,66_terrorist_terrorists_domestic_organization,"['terrorist', 'terrorists', 'domestic', 'organization', 'antifa', 'group', 'terrorism', 'organizations', 'terror', 'repelaineluria']","['@realdonaldtrump blm is a terrorist organization', 'but blm is a terrorist organization. 🙄', 'blm are terrorist!!']"
67,157,67_angeles_california_justiceforgeorgefloyd_los,"['angeles', 'california', 'justiceforgeorgefloyd', 'los', 'justiceforbreonnataylor', 'peace', 'justice', 'downtown', 'califor', 'icantbreathe']","['justiceforgeorgefloyd icantbreathe nojusticenopeace @ los angeles, california https://t.co/dqubtqt4mc', 'justice peace blacklivesmatter justiceforgeorgefloyd prayers @ los angeles county, california https://t.co/8wc6w12vnf', 'meanwhile in los angeles\njusticeforgeorgefloyd blacklivesmatter georgefloyd @ los angeles, california. https://t.co/gw5mhhcbt5']"
68,153,68_officer_cop_officers_george,"['officer', 'cop', 'officers', 'george', 'floyd', 'police', 'killed', 'brutality', 'neck', 'involved']","['the cop that killed george floyd only got fired.. how is that enough?', 'they found the officer that killed george floyd not guilty. \n\n😔🙏🏾', 'all officers charged in death of george floyd']"
69,152,69_name_say_his_candyman,"['name', 'say', 'his', 'candyman', 'times', 'three', 'drdisrespect', 'him', 'cannonhinnant', 'mirror']","['say his name', 'say his name', 'say his name !!!!!']"
70,151,70_georgefloyd_ur_ninja_icantbreathe_rising,"['georgefloyd', 'ur_ninja', 'icantbreathe', 'rising', 'directo', 'youtube', 'valentine', 'copy', 'representing', 'lapdchiefmoore']","['@brittaneycheers watching @ur_ninja &amp; people are rising up not only in the name georgefloyd but because they have… https://t.co/xwq9yswrov', '@juanathon8 watching @ur_ninja &amp; people are rising up not only in the name georgefloyd but because they have had e… https://t.co/bxx2bejcpf', '@acnewsitics watching @ur_ninja &amp; people are rising up not only in the name georgefloyd but because they have had… https://t.co/suibdgudio']"
71,149,71_name_her_say_she,"['name', 'her', 'say', 'she', 'breonnataylor', 'lisarayemccoy', 'deadname', 'rev', 'sayhername', 'sir']","['say her name ‼️', 'say her name', 'say her name']"
72,145,72_nigger_niggers_called_xandermcintosh,"['nigger', 'niggers', 'called', 'xandermcintosh', 'callofduty', 'ep126', 'r6lvgohkrl', 'me', 'twice', 'call']","['fucking nigger', 'you called me a nigger ?', 'just got called a nigger 🥵😍😌']"
73,144,73_rso_moms_aoc_rape,"['rso', 'moms', 'aoc', 'rape', 'vp', 'joebiden', 'gavinnewsom', 'naya', 'kamalaharris', 'kids']","[""@gavinnewsom @rso @sheriffbianco @fbi @cia @aaacares @lexus @dorseyryan @aoc we can't sustain perverted military w/ 30% rape! @kamalaharris"", ""@kamalaharris @joebiden @aoc @nickaylarivera moms don't want to live w/ nazi thugs! @gavinnewsom @ahouse_la @dhaniharrison freebritney ma"", '@kamalaharris @joebiden @gavinnewsom @twitter @rso @ahouse_la @aoc @summerstephan  moms say no to rapists @lori_viviano &amp; nazi thugs! naya']"
74,142,74_floyd_george_man_race,"['floyd', 'george', 'man', 'race', 'death', 'black', 'die', 'white', 'many', 'racial']","['candaceowens you just don’t get it. george floyd the man isn’t a martyr, he’s a symbol of systemic racial inequali… https://t.co/1w204nsosh', 'so sad to think that if this were a black man.. he would’ve been shot/killed💔 blacklivesmatters', 'candace owens: ‘i do not support george floyd and the media depiction of him as a martyr for black america’ https://t.co/aymxedhps6']"
75,140,75_america_united_states_state,"['america', 'united', 'states', 'state', 'country', 'american', 'americaortrump', 'wake', 'amerikkka', 'better']","['didn’t someone say make america great again?\n\nlook at us making america better today. 👏🏾👏🏾the change we need is here. \nblacklivesmatter', 'this is real america! blm', 'this is america 🥲🇺🇸\nblm ✊🏿✊🏾🇺🇸']"
76,137,76_taylor_breonna_sayhername_deserved,"['taylor', 'breonna', 'sayhername', 'deserved', 'forgotten', 'meme', 'name', 'her', 'vanityfair', 'karibyron']","['breonna taylor 🙏🏾🤎✨', 'breonna taylor 🙏🏾', 'breonna taylor breonna taylor \nbreonna taylor breonna taylor\nbreonna taylor breonna taylor']"
77,136,77_marxist_organization_marxism_marxists,"['marxist', 'organization', 'marxism', 'marxists', 'trained', 'communist', 'capitalism', 'socialists', 'leaders', 'xo0yiju2u3']","['@docrivers quit lying! blm and antifa are marxist thugs.  the marxist hate are country . educate yourself', 'blm ???? marxist organization !!!!!', 'fuck off blm and any other marxist organization']"
78,134,78_concentration_camps_camp_japanese,"['concentration', 'camps', 'camp', 'japanese', 'uighurs', 'unconstitutional', 'border', 'kids', 'fdr', 'mitchofarrell']","['fuck it concentration camps', 'what about the concentration camps', 'concentration camps']"
79,133,79_breonnataylor_letsgetherjustice_hillaryclinton_information,"['breonnataylor', 'letsgetherjustice', 'hillaryclinton', 'information', 'question', 'state', '100', 'defundthepolice', 'family', 'great']","['breonnataylor', 'breonnataylor', 'breonnataylor']"
80,131,80_germany_german_nazi_germans,"['germany', 'german', 'nazi', 'germans', '1938', 'ss', 'welcome', 'soviet', 'gest', 'union']","['nazi germany anyone?', '@realdonaldtrump this is not nazi germany.', 'nazi germany']"
81,129,81_asian_stopasianhate_asians_hate,"['asian', 'stopasianhate', 'asians', 'hate', 'asiansarehuman', 'stop', 'asianlivesmatter', 'stopasianhatecrimes', 'motivated', 'stopaapihate']","['stop asian hate', 'stop asian hate', 'stop asian hate stopasianhate 💔']"
